Coordinate;Color(R,G,B);Luminosity(L/L_sun)
(-4.442996301320884,8.029731670549218,12.9802900747058);(255,255,255);0.09839062651894606
(6.939679005120768,28.640697942479502,4.585773333956043);(255,255,0);0.003088282632226304
(10.184666540975348,24.293797856663748,17.224700926903655);(255,255,255);3.1490478729349896
(-9.456022356582098,11.316469863219437,-13.535912005868676);(255,255,0);0.003311170509915169
(15.181292733311423,-29.756214247051272,-36.30815757522256);(255,255,255);0.7509770470436176
(-2.2906538584299567,11.038150496946567,-3.250178716517092);(255,255,0);0.11729280929994133
(-2.3037662314987535,-1.6768753943880101,-5.013765198034911);(255, 0, 0);0.05010763810036046
(-76.54060155123398,17.46577074015092,77.78759831347223);(255,255,0);0.11482006326974525
(-1.9128027875686713,5.88014295171444,5.93102684325199);(255,255,0);0.2987570031807965
(0.43845049209820464,24.30917576202626,16.209983180254383);(255,255,0);0.4204928926406068
(-1.7955330332358543,1.647797684940244,-19.028847532314767);(255,255,255);0.8421174324561749
(-2.2585827555113474,-46.027248372593036,43.487507091302014);(255,255,0);0.011565979473884989
(18.370301675843102,14.847406670183906,-80.72461987993108);(255,255,0);0.0018859770834685225
(3.1436043153659057,14.526866805981603,214.49356767042073);(255,255,0);0.0019161807444339385
(-10.749618008052371,-13.533339635792949,13.640547543638782);(0, 0, 255);5.353233622995313
(-28.552030321106788,-24.75327513561971,83.23761312814861);(255,255,0);0.011293701478156023
(2.057327501178194,-66.52578048950726,61.173521882365904);(255,255,0);0.015705628482064072
(2.6597612273497617,2.7962307353079763,24.560261652146476);(255,255,255);1.524924790511354
(11.28535516595425,27.451884414645814,22.38823915177574);(255,255,0);9.053091642232248
(-0.031135752694003652,16.59095408905131,4.831751330543704);(255,255,0);1.6378484970917235
(-37.11253703093593,6.351424938760716,-15.038803884079792);(255,255,255);1.3291412711797927
(-1.6299163438989823,-6.344499935688401,-2.94593531163461);(255,255,0);1.0
(0.27207985271532925,1.0598516797418651,-2.4780216392800503);(0, 0, 255);33.56425281616577
(-16.09404557554922,48.701115583754984,54.69878825561759);(255,255,255);2.6083471356154244
(79.5360246958343,48.02562134983196,-18.809679620897825);(255,255,255);0.002812967593602798
(-50.93940666848344,36.80853445100216,-27.00862262477686);(255,255,0);0.03345742561148079
(-49.03546665061984,-17.0877805101173,104.78511878588954);(0, 0, 255);1.0
(-77.24534509090176,41.953177281259165,115.49042340151279);(255,255,255);1.0
(150.91654608893157,4.0738431763590865,-39.653905631762974);(255,255,255);0.08976586054483637
(-100.0767677746026,-27.709560355163187,31.350150194618678);(0, 0, 255);0.09505243473153692
(-33.81926631481266,-28.18057610516568,102.27443895461981);(255,255,0);0.05455982163142869
(32.49586784438214,36.33107649806066,29.600945562512276);(255,255,255);0.055759452148340535
(47.75187814368652,30.216465580141808,4.997608895086613);(255,255,0);0.0017309997332982151
(-5.5153856710724085,1.2910518968642841,-7.751820046766299);(255,255,255);0.2689875285800282
(-5.887484816479501,-10.96527614921712,37.06864925500806);(255,255,0);0.020388897132333116
(-0.37850374019279975,7.088248271756979,-27.660999115474937);(255,255,255);0.47615412174777566
(1.8850197938024642,-12.474652744645894,2.5112651088139106);(255,255,255);0.011900748760636059
(-43.58585301083479,-52.95091209667215,42.26459143123035);(255,255,255);0.4685518033424132
(-31.32370426164891,-48.36002995122973,-0.1486668113376692);(255,255,255);1.9419573739098293
(-9.559699485554198,-28.068189356379207,87.03576092168952);(255,255,0);0.01147035529499211
(-27.102775609597924,9.813440058663511,-14.603616762451471);(255,255,255);0.960314872939581
(10.796780935546494,12.219426235512875,-46.67801893766621);(255,255,255);0.35728863461504645
(27.77193529959063,-45.01527005037019,-4.0267636120154275);(255, 0, 0);1.0
(61.84491162667529,7.178865940445003,46.30632238827827);(255,255,255);1.0
(-1.3834607142800344,-2.465080053706783,20.419617978267688);(255,255,0);0.014136104302974777
(-9.150230973262401,17.845656473312314,92.47036518675456);(255,255,0);0.014232157622597313
(-1.2426492375042455,-1.5531683118799,-179.0762190865679);(255,255,0);0.04965222328271283
(13.065827649109655,-9.911909683541634,-25.11873952040212);(255, 0, 0);0.020829364245582224
(0.03518654798568329,15.291375146830234,4.32427627725744);(255,255,255);0.07605167259641848
(-7.197383354549638,-58.76588636234219,63.933455730489186);(255, 0, 0);0.011831023698529775
(-52.86490670171016,-27.372099744933433,-6.781296121814302);(255,255,255);0.1723372106802313
(59.3738748231261,-25.321520930910765,31.771318797634663);(255,255,0);1.0
(27.77811639609031,36.83293125683402,-53.66729459309583);(255, 0, 0);0.0023030389901210055
(32.47789333911243,70.92301249671924,27.478734702026145);(255, 0, 0);0.005782754497779561
(-56.49326354402128,-10.973383610584477,61.09791312558822);(255,255,255);0.6337172186709584
(3.8092656598490056,3.922830433840027,6.548353562708783);(255, 0, 0);0.20919104185312282
(-7.274496021689084,1.5387372290959886,31.95073555336932);(0, 0, 255);0.7720139292555965
(-10.390268725615288,-5.15191205484045,-11.4499045793572);(255,255,0);3.6800686122086486
(5.436086685208082,6.1807364699340575,16.438972516241257);(255,255,0);0.05818779997724702
(-50.36840957024597,-27.176162037664835,37.36468028784193);(255,255,0);0.002630950238980699
(33.58548376664086,35.343435315618244,-110.13317432945551);(255,255,0);0.02387449973767891
(12.648280506346856,2.8199191203797596,16.941778330921903);(255,255,0);1.161613785508259
(-0.8437067151807964,7.078362111896865,-47.85270138752506);(255,255,255);0.016663706310190013
(-9.671347149138956,2.714516201940667,-35.252738614258874);(255,255,255);0.396331937071117
(-1.266266450341269,2.446363738160867,75.74439507002754);(255,255,0);0.0718572466571716
(-7.297967558555759,33.116761903726704,-36.99994175638242);(255,255,0);0.0169275822039936
(11.761340738463998,-5.482889542957737,7.071834355193314);(255,255,255);1.0
(3.9340858131953738,-17.726020102839257,-24.725161471336488);(0, 0, 255);0.013735069727122868
(-63.214926487050725,-25.860293347752716,75.79152406958754);(0, 0, 255);2.2417930068207816
(-7.07155854456806,27.08834456301993,25.181120889733766);(255,255,255);1.5503925095971336
(13.233953527404934,0.9885711348771631,15.74241029379338);(255,255,0);0.8024874578301272
(0.26089985728008186,-3.8453255359625302,-9.280266474746085);(255,255,255);0.31504544173107135
(0.4651005334153552,-18.93254208844931,3.742125832597554);(255,255,255);44.042648843948065
(3.978557536972634,1.295019766430711,-15.714171832739394);(0, 0, 255);0.038597560120718875
(-3.508328883407355,-7.512425060659925,-8.62709393753107);(255,255,0);1.0
(54.62778528543368,23.184154565898123,-61.23755014754349);(255,255,0);1.0
(38.651388103816146,-4.4021437261373935,-38.8228132639693);(255,255,255);0.3245849155246907
(11.859953467185603,21.97280957991492,-57.329147554733545);(255,255,0);1.0
(-17.394805931342223,28.178971659070584,-56.75360771058922);(255,255,255);0.16872099352391162
(15.444276496920201,-11.933454183960096,-6.427897159008626);(255,255,0);0.023477320900068398
(49.02456827239404,-19.94657486303983,-46.001897721645385);(255,255,0);0.04611383031723368
(3.1434087034196696,5.281896762763218,6.233688161868268);(255,255,0);0.09515276793368668
(-0.9557193951874698,1.5963604399355076,-34.46558917367508);(255,255,255);1.416177095532312
(-22.386267429344148,-29.975483763334253,53.37576376324042);(255,255,0);0.01255302238775953
(70.28915210244887,-54.99478835296353,-50.5536215102632);(0, 0, 255);0.009680769861581359
(-13.863401947827507,-44.905907012699345,52.77715651619821);(0, 0, 255);3.684410412200256
(77.02410970236392,5.688804546141156,22.084885871801045);(255,255,255);0.0011134663189252476
(-56.83734207161092,26.339050848168178,45.2655980206668);(255,255,0);1.0
(-26.1491754506856,-6.239220018883828,13.350185222396897);(0, 0, 255);23.50871812127413
(-9.54755946363434,2.553699447160702,-11.76860895333188);(255,255,255);1.6250534436645323
(-68.76950848647698,8.176815109533626,117.88819987829278);(255,255,0);0.014494578963880997
(2.032538437736,3.4633034299625596,-41.8582276772933);(255,255,255);0.004736210205788972
(-17.70828807140663,4.129681268971474,-7.217670704171151);(255,255,255);0.39438887095262276
(0.084402566755519,0.3035113412281362,2.197200729312582);(255,255,0);0.07664890206247996
(-2.064839507936045,-0.18563357966530655,-4.81646497311654);(255,255,255);0.11697796224472758
(21.742622898303008,41.419320981557675,9.425666214355614);(255,255,0);3.240773168293125
(6.442631502561434,-10.757353592510519,2.716935198733218);(255,255,255);0.7550200852824068
(20.313880368456267,-15.314517166297334,2.3167615672745487);(255,255,0);0.049841763647807874
(-36.47046185672406,-50.151329065643,15.796516522017068);(255,255,255);0.22844790892064734
(3.3636190823269336,12.338534829522827,25.027788826652497);(255,255,255);0.004966048365179095
(-2.9032804803848866,6.09023962352651,-58.46545377306427);(255,255,0);0.02188710568404467
(32.436569717018735,19.68156645084382,30.173118075375143);(0, 0, 255);1.0
(-19.25379529582185,-4.698711630274487,-10.27421584860805);(255,255,0);0.008629406633516825
(19.776840992191723,60.76624297848241,-71.04950641238487);(255,255,255);0.025660026128194062
(-78.99393230693914,77.60900386197366,68.41184377716624);(255,255,0);0.03892630439672669
(-3.1082073710614715,-50.60310190141326,84.7582453295091);(255,255,255);1.4637508044470728
(0.2810188375013315,-11.070969322860064,-1.8961823704662082);(255,255,0);1.0
(5.491738474890358,-11.609759105459622,21.514664400556793);(255,255,0);0.023965272136007843
(14.022467866483337,-5.625779828495708,21.472260603198254);(255,255,0);0.13146029753203867
(58.8727645458952,-44.99753806015493,-65.0650466623358);(255, 0, 0);0.0005097288129568777
(-11.496073952607848,-17.90901321628237,11.39533606956525);(0, 0, 255);0.0097003602215785
(7.952794574237327,3.328676248721227,33.338333549989734);(255,255,0);0.26794250026442445
(16.2637449098926,-22.88498193745567,-27.34482147544708);(255,255,255);0.040428496740050314
(-2.4408094426192486,-18.28852473430741,-11.826580852113237);(255,255,0);0.18677609276634008
(0.8186777093673581,34.19504311097126,-9.993493733975532);(255,255,255);0.002024088597307516
(-0.7027872053509144,1.6034612216605921,88.23747085316421);(255,255,255);0.5861131186109184
(-70.886702833794,50.60264877057996,62.7194230545756);(255,255,0);0.010734006252475982
(41.84702164513718,10.136966073500602,-72.47508246223394);(255,255,0);1.0
(-28.181199753390953,30.058148539549727,9.871745984210012);(255,255,0);0.007918033173525475
(-1.458998580370443,-1.3467501159799762,-2.2255488503317125);(255,255,255);1.7243209285463035
